City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
362,riyadh,24.63,46.72,75.2,33,34,3.36,SA,1573253016
363,bilma,18.69,12.92,77.0,17,0,7.65,NE,1573253016
364,okhotsk,59.36,143.24,17.2,74,84,21.47,RU,1573253017
365,victoria point,-27.58,153.3,84.0,60,1,10.29,AU,1573253017
366,avesta,60.15,16.18,34.0,98,100,3.36,SE,1573253017
367,contai,21.78,87.75,72.34,92,100,24.63,IN,1573253017
368,poronaysk,49.22,143.1,26.22,59,6,13.89,RU,1573253017
369,san carlos de bariloche,-41.13,-71.31,66.2,25,20,19.46,AR,1573252891
370,kemin,42.79,75.7,35.1,46,1,2.86,KG,1573253017
371,sorland,67.67,12.69,15.8,92,20,6.93,NO,1573252801
372,san patricio,-26.98,-56.83,75.27,91,11,6.26,PY,1573252437
373,bilibino,68.06,166.44,3.51,77,25,3.06,RU,1573253018
374,lompoc,34.64,-120.46,78.01,72,1,13.87,US,1573252439
375,sao filipe,14.9,-24.5,74.3,80,85,15.64,CV,1573252428
376,kupang,-10.16,123.6,78.8,78,75,0.38,ID,1573252428
377,hirara,24.8,125.28,69.8,64,20,12.75,JP,1573252490
378,avera,33.19,-82.53,59.0,71,1,3.36,US,1573252461
